price;haircut;resource
300 Р;ПЕРВАЯ СТРИЖКА В БРАТИШКЕ;first_haircut
от 500 до 700 Р;СТРИЖКА БРАТИШКИ;haircut_bratishka1
от 200 до 300 Р;СТРИЖКА МАШИНКОЙ;haircut_clipper
от 500 до 600 Р;МОДЕЛИРОВАНИЕ БОРОДЫ;beard_modeling
от 800 до 1100 Р;БРАТИШКА+СЫНИШКА;bratishka_synishka
от 800 до 1200 Р;БРАТИШКА+БРАТИШКА;bratishka_bratishka
от 700 до 900 Р;КОМБО 1 (СТРИЖКА+СТРИЖКА БОРОДЫ);no_image
от 900 до 1100 Р;КОМБО 2 (СТРИЖКА+МОДЕЛИРОВАНИЕ БОРОДЫ);no_image
от 1100 до 1400 Р;КОМБО 3 (СТРИЖКА+СТРИЖКА БОРОДЫ+ТОНИРОВАНИЕ);no_image
100 Р;УДАЛЕНИЕ ВОЛОС ВОСКОМ;no_image
600 Р;ТОНИРОВАНИЕ БОРОДЫ;no_image
600 Р;ТОНИРОВАНИЕ ГОЛОВЫ;no_image
